Text,Label
Ennq pa idhu paei padama twist nalla irkkae,Positive
Na oru thalaivar veriyan....intha padam pakanum innu nenaichen...ahna trailer pathuttu mudivu pannitten..kandippa padam pakka matten.,unknown_state
last shot apdiye moratu kaala paatha feeling,Positive
Darbar motion poster see after petta trailer,unknown_state
"ln 9 minutes 88k likes , Ajith sir fans like here ..",Positive
Style vara level super,Positive
🤣🤣🤣Maran waiting la panavendam poi saavunga Ajith fans,Positive
Yuvan Shankar Raja musical SEMA mass,Positive
330K Likes In Just 1Hour 🤙🤙🤙,Positive
Block... Buster... Movie.. Saluttt.. Mohan.. Ggg,Positive
mgr kitta rajini yala umba kuda mudiyathu ha ha,Negative
1:23 & 2:28 marana bangam da yappa,Positive
u guys remain me CITIZEN,Positive
தேவேந்திர குல வேளாளர் சார்பாக  படம் வெற்றி பெற வாழ்த்துக்கள்,Positive
தமிழகத்தில் நாடக காதல் கும்பலை அடியோடு கருவறுக்க வருகிறாள் திரெளபதி,Positive
701 likes thala fans 1 million likes varanum pangaaigala,Positive
Vera leveluku irukey trailer padamum supera irukumo hd print varatum mudha downloader nangathana irukum,Positive
Yogibabu Vijay ah Vera level nu soli soli kadaisila thalapathy eh kalaichitaan da..1.21 heyy silence 🤣,Positive
சாதி பார்க்கும் சமூகம் எனில் வீசும் காற்றில் விஷம் பரவட்டும் :-(  சாதிகள் இல்லையடி பாப்பா :-)  என்றும் பாரதியின் வழியில்,unknown_state
sema wow pakka allu alludhu la    bairavaa da  Ajith fans la bayandhu thirumbi poda,Positive
Enakku puttukichini enna suthi irukavangalaam love panna sema gaandaagum.intha trailer paatha pinna suthi irukavanga love santhoshama irukku  :),Positive
"உங்கள் உள்ளுணர்வு பின்பற்றுங்கள் உள்ளுணர்வு தான் உங்களுக்கு சரியான வாழ்க்கைத் துணையை தேர்ந்தெடுக்க வழிவகை செய்யும்.  பொருத்தமான இருவருக்கு நடுவே உண்மையான காதலோடு, அந்த உணர்வோடு அமைந்தால் தான் அந்த வாழ்க்கை சிறப்பாக இருக்கும்.  இதுபோன்ற விழிப்புணர்வு படங்கள் பத்தாது. அவர்கள் அவரவர் வாழ்க்கையை பற்றிய சுய அறிவை வளர்த்துக் கொள்ளுங்கள்.",unknown_state
"Ippa than konjam jaathi veri illama konjam ellarum natpa palagi varanga,  athukulla jaathi veriya thundra mathiri oru padam..",Negative
"Selva sir, marana waiting... trailer la ithuvaraikkum Paakkatha surya na va Pathen, Vera level la irukkum kandippa youth Kana padama irukkum",Positive
தேவிடியா பசங்க நாங்க மட்டுமா நாடகம் காதல் பன்ரோம் ஆம்பள டா அடங்கயெல்லாம் முடியாது அதுயெல்லாம் அந்த காலம் கேன புன்டேகலா படத்தபார்த்து முடிவெடுக்காத அவ அவ என்னபன்னா யோசிடா ஜாதிய நாங்கல ஆரமிச்சோம் நீங்க ஏன்டா எங்கல அடிமை செய்யனும் 🤨🤨🤨,unknown_state
trailer Oda last dance than evanoda nejamana character aara mental da evan,Positive
உன் கூட இருக்கிறது சந்தோஷம் எங்கிறதை விட நீ தான் என் சந்தோஷமா இருக்க..,Positive
Vishvasam trailer pathutu thirumba Itha pakuravanga like pannunga,unknown_state
today 500millions views.450k likes varundravala like therika vidunga,Positive
1:41 mmmm... Ok          SUPER,Positive
yuvan thalaivana yar yar miss pandringa,Positive
#tha vera level thala va thala va va va,Positive
90s kids kagave  sethukirukkagada .... Vera level verithanam...,Positive
aiyoo again like panna button illayada .... thala semma,Positive
ட்ரைலர்ல ஒன்னும் புரியல  தம்பி. But படத்துல எங்க தலய பத்தி கிண்டல் செஞ்ச மாதிரி ஏதாச்சும்  இருந்தா அப்புறம் இருக்கு தம்பி உங்களுக்கு பெரிய கச்சேரி.,Negative
hello en yuir vijay anna sema mass awesome,Positive
