Text,Label
Aunty log bohot kadak hai,Not Tulu
Shruthi was awesome... Nice collaboration... Hope we see her in ur upcoming vlogs.. 😊,Not Tulu
Gol gappadh ammana sajjigene best,Positive
Chaddida brand thojodijji marre😃😃😃,Neutral
Memories just got refreshed...,Not Tulu
Bayankara comedy acting! Thank you so much for the laugh.. Solmelu!,Positive
Maatha episode la orane thuka pandh aapundu,Positive
semifinal dha act masth sokithund.....undhu onthe boring aand . but sokatgund.,Positive
Only vikas fan's ❤⚡,Not Tulu
"ಎನ್ನ ತುಳುವಪ್ಪೆ ಬುಲ್ತೊಂದುಲ್ಲೆರ್, ತುಳುನಾಡ್ ಒಂಜಾವೊಡು ಪಂದ್ ತನ್ನ ಜೀವಮಾನ ಮಾತ ಪುನೆತ್‌ದ್ ಗಡಿನಾಡ್‌ಡ್ ತುಳುವೆರೆ ಸ್ವರ ಆದಿತ್ತಿನ ರೈಕುಲೆನ್ ನೆನೆತೊನುಗ.  #ನಮ್ಮ_ತುಳುವೆರ್ #KooInTulu ",Neutral
Video du 6.57 min du onji song da link plz.... Any one..... Which song...????,Positive
Enchi aishwarya marre....,Neutral
""" @MadInKudla  thank u for reply",Not Tulu
Now iam mangalorian with mangalores traditional word bvc,Not Tulu
"ainath kaup prashamsadakulna tudu kalpod""",Neutral
Size: mitthdayana toodu andaji padle,Mixed
"Cool drinks for all the tuluvas,",Not Tulu
Ninna Poppana Meggena,Neutral
Swami ajja kapule,Positive
super Sandeep anna,Positive
"""And, aven odare kudora play malpodapund video..""",Neutral
ಏರೆನ್ ದೇವೆರ್ ಯೇದ್ದೆಡ್ ದಿವಾಡ್ ಮಾರ್ರೆ....... ಮತೇರೆನ್ಲ ತೆಳಿಪಡ್ ಏರ್ಲ ತೆಲ್ತೊಂಡಿಪ್ಪುಳೆ.......❤️❤️❤️,Positive
My fvrt team kudla kusal,Positive
"""Comedy king arvind bolar   ,super👍""",Not Tulu
Marks korpinakale poora marl...,Mixed
Pin daane malthijar comment ?,Neutral
"""V like bangadi and prajwals comedy.karimani joke, and some other jokes r good.""",Not Tulu
ತಾಂಟ್ರೆ very supper...,Positive
Keep on entertaining.,Not Tulu
Are bapre ponnulenu alakka kettayaru ate vismayanna😜🤣🤣,Neutral
PUKULI fan from karkala😁,Not Tulu
super tulu movi aatidonji deena,Positive
"""ಕಡಲ ಪರ್ಪ ಸೂಪರ್ ಹಾಡು",Not Tulu
Matherla ecnhene ottige yedded serad comedy malthond erle Best of luck,Positive
ಇಂತಹ ಚೀಪ್ ಜಾಹೀರಾತಿಗಾಗಿ ನಿಮ್ ಕ್ರಿಯೇಟಿವಿಟಿ ಹಾಳು ಮಾಡಬೇಡಿ🙏,Not Tulu
bore manthonduler namma tv dakulu.,Mixed
"ನಮ್ಮ ತುಳುನಾಡ್‌ನ್ Ice-cream capital of India ಪಂದ್ ಲೆಪ್ಪುವೆರ್. #ನಮ್ಮ_ಊರು #KooinTulu ",Neutral
"ತೂ ಪೊತ್ತಾದ್ ಅಟಿಲ್ ಮಲ್ಪುನ ಜಾಗೆನ್ ದಿಕ್ಕೆಲ್ ಪಂದ್ ಪನ್ಪೆರ್. ದಿಕ್ಕೆಲ್ ಉಪ್ಪುನ  ಅದೆನ್ ಅಟ್ಟಿಲ್ದ ಕೋಣೆ, ಅಡ್ಪಿಲ್ಲ್ ಪಂದ್ ಪನ್ಪೆರ್. ದಿಕ್ಕೆಲ್‌ದ ಮಿತ್ತ್ ಕರ, ಬಾಜನ ದೀವೆರೆ ಆಪಿಲೆಕ್ಕ ಮೂಜಿ ಮರ್ಗಿಲ್‍ದ ನಡುಟು ಎತ್ತರ ಮಲ್ಪುವೆರ್. ಇಲ್ಲ್ ದ ಉಲಯಿ ಅಟಿಲ್ ಮಲ್ಪುನ ದಿಕ್ಕೆಲ್ ಎಲ್ಯ ಉಪ್ಪುಂಡು. ",Neutral
thanks for Namma  TV channel.Undu program tulutu No.1 program.,Positive
Rathish mendon.. thank you so much anna.. and comment maltina prativoriyagla solmelu ️,Positive
Super sis🥰❤️dress enila same black black😁,Not Tulu
Outro was epic 😂😂😂😍,Not Tulu
Kannada movie malpunaga onthe jagrathe. Kelav fans bokka ugra aver.,Mixed
😂😂😂 sook undu err thinpina 😂😂😂,Positive
Mahendra S Nayak,Neutral
ajjjina wa jollly,Positive
Koppalad de eer,Neutral
ಅಂಬಾನಿ ತುಂಡಾ ಸೈತೆ ಪೊವೇ.😂😂,Positive
"ಇನಿ ಕುಡ್ಲಡ್ ತುಳು ಭಗವದ್ಗೀತೆ ದ ಬೊಳ್ಳಿ ಪರ್ಬದ ಗೌಜಿ @TimesofKudla #BhagavadGita #Tulu #SilverJubilee #Mangalore #Kudla #Tulunadu",Positive
